latitude,longitude,altitude,geometry,@id,landuse,name,type,@geometry,imagery_used,created_by,highway,name:fr,wikidata,wikipedia,amenity,religion,operator,resource,substance,name:kn,material,abandoned:landuse,disused,barrier,source,note,loc_name:hi,man_made,addr:housenumber,alt_name,operator:type,natural,hazard,disused:landuse,abandoned:man_made,boundary,contamination,description,informal,old_name
17.669586,79.5211451,,Point,way/374396952,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.7838228,79.4971513,,Point,way/374396969,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.6847598,79.5711941,,Point,way/374397872,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.6827828,79.5395169,,Point,way/374397874,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.6783402,79.5609983,,Point,way/374397879,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.6798333,79.5481023,,Point,way/374397884,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.5501274,79.475969,,Point,way/374398169,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.5346903,79.4851223,,Point,way/374399647,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.5297551,79.4993769,,Point,way/374399649,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.5396176,79.4872018,,Point,way/374399650,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.7883762,79.6508064,,Point,way/374399718,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.6762347,79.5208929,,Point,way/374399728,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.654856,79.523188,,Point,way/374399746,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.6161688,79.5412124,,Point,way/374399845,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.6155105,79.5404286,,Point,way/374399846,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.6164,79.5425408,,Point,way/374399847,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.61593,79.5432435,,Point,way/374399848,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.6175005,79.5456913,,Point,way/374399849,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.6180061,79.5443222,,Point,way/374399850,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.6179509,79.5453079,,Point,way/374399851,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.6150618,79.5413463,,Point,way/374399852,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
